
"* 통계표ID : DT_1IN1002"
"* 통계표명 : 인구, 가구 및 주택 - 읍면동"
"* 수록기간 : ( 5년 : 2010 ~ 2010 )"
"* 출처 : 통계청 조사관리국 인구총조사과"
"* 파일생성일자 : 2013/08/29 16:50:19"

[주석 정보]
"통계표","주1) 가구형태"
,"
       - 일반가구(가구구분 항목 ①~④, 일반가구 내 외국인도 포함)"
,"
         ? 가족으로 이루어진 가구"
,"
         ? 가족과 5인 이하의 남남이 함께 사는 가구"
,"
         ? 1인가구"
,"
         ? 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구"
,"
       - 집단가구"
,"
         ? 비혈연 6인 이상 가구 : 가족이 아닌 남남끼리 함께 사는 6인 이상의 가구(가구구분 항목 ⑤)"
,"
         ? 집단시설가구 : 기숙사나 노인요양시설?보육원 등 사회시설에 집단으로 살고 있는 가구"
,"
       - 외국인가구 : 외국인으로만 구성된 가구"
,"
 주2) 주택이외의 거처에는 오피스텔, 호텔·여관 등 숙박업소의 객실, 기숙사 및 특수 사회시설, 판잣집·비닐하우스 등이 있음"
,"
 주3) 파주시 진동면(3120021)의 (인구/가구/주택)은 파주시 군내면(3120038)에 포함"

[분류/항목 정보]
분류코드,분류/항목명,분류값,분류값명,단위,가중치
"'A","행정구역별(읍면동)","'11150","양천구",,
"'A","행정구역별(읍면동)","'1115051","목1동",,
"'A","행정구역별(읍면동)","'1115052","목2동",,
"'A","행정구역별(읍면동)","'1115053","목3동",,
"'A","행정구역별(읍면동)","'1115054","목4동",,
"'A","행정구역별(읍면동)","'1115057","신월1동",,
"'A","행정구역별(읍면동)","'1115058","신월2동",,
"'A","행정구역별(읍면동)","'1115059","신월3동",,
"'A","행정구역별(읍면동)","'1115060","신월4동",,
"'A","행정구역별(읍면동)","'1115061","신월5동",,
"'A","행정구역별(읍면동)","'1115062","신월6동",,
"'A","행정구역별(읍면동)","'1115063","신월7동",,
"'A","행정구역별(읍면동)","'1115064","신정1동",,
"'A","행정구역별(읍면동)","'1115065","신정2동",,
"'A","행정구역별(읍면동)","'1115066","신정3동",,
"'A","행정구역별(읍면동)","'1115069","신정6동",,
"'A","행정구역별(읍면동)","'1115070","신정7동",,
"'A","행정구역별(읍면동)","'1115071","목5동",,
"'A","행정구역별(읍면동)","'1115072","신정4동",,
"'A","행정구역별(읍면동)","'11160","강서구",,
"'A","행정구역별(읍면동)","'1116051","염창동",,
"'A","행정구역별(읍면동)","'1116052","등촌1동",,
"'A","행정구역별(읍면동)","'1116053","등촌2동",,
"'A","행정구역별(읍면동)","'1116054","등촌3동",,
"'A","행정구역별(읍면동)","'1116055","화곡본동",,
"'A","행정구역별(읍면동)","'1116057","화곡2동",,
"'A","행정구역별(읍면동)","'1116058","화곡3동",,
"'A","행정구역별(읍면동)","'1116059","화곡4동",,
"'A","행정구역별(읍면동)","'1116061","화곡6동",,
"'A","행정구역별(읍면동)","'1116063","화곡8동",,
"'A","행정구역별(읍면동)","'1116064","가양1동",,
"'A","행정구역별(읍면동)","'1116065","가양2동",,
"'A","행정구역별(읍면동)","'1116066","가양3동",,
"'A","행정구역별(읍면동)","'1116067","발산1동",,
"'A","행정구역별(읍면동)","'1116069","공항동",,
"'A","행정구역별(읍면동)","'1116070","방화1동",,
"'A","행정구역별(읍면동)","'1116071","방화2동",,
"'A","행정구역별(읍면동)","'1116072","방화3동",,
"'A","행정구역별(읍면동)","'1116073","화곡1동",,
"'A","행정구역별(읍면동)","'1116074","우장산동",,
"'A","행정구역별(읍면동)","'11170","구로구",,
"'A","행정구역별(읍면동)","'1117051","신도림동",,
"'A","행정구역별(읍면동)","'1117052","구로1동",,
"'A","행정구역별(읍면동)","'1117054","구로3동",,
"'A","행정구역별(읍면동)","'1117055","구로4동",,
"'A","행정구역별(읍면동)","'1117056","구로5동",,
"'A","행정구역별(읍면동)","'1117061","고척1동",,
"'A","행정구역별(읍면동)","'1117062","고척2동",,
"'A","행정구역별(읍면동)","'1117064","개봉2동",,
"'A","행정구역별(읍면동)","'1117065","개봉3동",,
"'A","행정구역별(읍면동)","'1117067","오류1동",,
"'A","행정구역별(읍면동)","'1117068","오류2동",,
"'A","행정구역별(읍면동)","'1117069","수궁동",,
"'A","행정구역별(읍면동)","'1117070","가리봉동",,
"'A","행정구역별(읍면동)","'1117071","구로2동",,
"'A","행정구역별(읍면동)","'1117072","개봉1동",,
"'A","행정구역별(읍면동)","'11180","금천구",,
"'A","행정구역별(읍면동)","'1118051","가산동",,
"'A","행정구역별(읍면동)","'1118052","독산1동",,
"'A","행정구역별(읍면동)","'1118053","독산2동",,
"'A","행정구역별(읍면동)","'1118054","독산3동",,
"'A","행정구역별(읍면동)","'1118055","독산4동",,
"'A","행정구역별(읍면동)","'1118057","시흥1동",,
"'A","행정구역별(읍면동)","'1118058","시흥2동",,
"'A","행정구역별(읍면동)","'1118059","시흥3동",,
"'A","행정구역별(읍면동)","'1118060","시흥4동",,
"'A","행정구역별(읍면동)","'1118061","시흥5동",,
"'A","행정구역별(읍면동)","'11190","영등포구",,
"'A","행정구역별(읍면동)","'1119054","여의동",,
"'A","행정구역별(읍면동)","'1119055","당산1동",,
"'A","행정구역별(읍면동)","'1119056","당산2동",,
"'A","행정구역별(읍면동)","'1119061","양평1동",,
"'A","행정구역별(읍면동)","'1119062","양평2동",,
"'A","행정구역별(읍면동)","'1119063","신길1동",,
"'A","행정구역별(읍면동)","'1119065","신길3동",,
"'A","행정구역별(읍면동)","'1119066","신길4동",,
"'A","행정구역별(읍면동)","'1119067","신길5동",,
"'A","행정구역별(읍면동)","'1119068","신길6동",,
"'A","행정구역별(읍면동)","'1119069","신길7동",,
"'A","행정구역별(읍면동)","'1119070","대림1동",,
"'A","행정구역별(읍면동)","'1119071","대림2동",,
"'A","행정구역별(읍면동)","'1119072","대림3동",,
"'A","행정구역별(읍면동)","'1119073","영등포본동",,
"'A","행정구역별(읍면동)","'1119074","영등포동",,
"'A","행정구역별(읍면동)","'1119075","도림동",,
"'A","행정구역별(읍면동)","'1119076","문래동",,
"'A","행정구역별(읍면동)","'11200","동작구",,
"'A","행정구역별(읍면동)","'1120052","노량진2동",,
"'A","행정구역별(읍면동)","'1120053","상도1동",,
"'A","행정구역별(읍면동)","'1120054","상도2동",,
"'A","행정구역별(읍면동)","'1120055","상도3동",,
"'A","행정구역별(읍면동)","'1120056","상도4동",,
"'A","행정구역별(읍면동)","'1120063","사당1동",,
"'A","행정구역별(읍면동)","'1120065","사당3동",,
